date,open,high,low,close,adj_close,volume
,META,META,META,META,META,META
2012-05-18,42.04999923706055,45.0,38.0,38.22999954223633,38.02141189575195,573576400
2012-05-21,36.529998779296875,36.65999984741211,33.0,34.029998779296875,33.844329833984375,168192700
2012-05-22,32.61000061035156,33.59000015258789,30.940000534057617,31.0,30.830860137939453,101786600
2012-05-23,31.3700008392334,32.5,31.360000610351562,32.0,31.825403213500977,73600000
2012-05-24,32.95000076293945,33.209999084472656,31.770000457763672,33.029998779296875,32.84978485107422,50237200
2012-05-25,32.900001525878906,32.95000076293945,31.110000610351562,31.90999984741211,31.73589515686035,37149800
2012-05-29,31.479999542236328,31.690000534057617,28.649999618530273,28.84000015258789,28.68264389038086,78063400
2012-05-30,28.700000762939453,29.549999237060547,27.860000610351562,28.190000534057617,28.036191940307617,57267900
2012-05-31,28.549999237060547,29.670000076293945,26.829999923706055,29.600000381469727,29.43849754333496,111639200
2012-06-01,28.889999389648438,29.149999618530273,27.389999389648438,27.719999313354492,27.568756103515625,41855500
2012-06-04,27.200000762939453,27.649999618530273,26.440000534057617,26.899999618530273,26.75322914123535,35230300
2012-06-05,26.700000762939453,27.760000228881836,25.75,25.8700008392334,25.728851318359375,42473400
2012-06-06,26.06999969482422,27.170000076293945,25.520000457763672,26.809999465942383,26.663721084594727,61489200
2012-06-07,27.0,27.350000381469727,26.149999618530273,26.309999465942383,26.16644859313965,26159500
2012-06-08,26.549999237060547,27.760000228881836,26.440000534057617,27.100000381469727,26.95214080810547,38034000
2012-06-11,27.18000030517578,28.06999969482422,26.84000015258789,27.010000228881836,26.86263084411621,28219600
2012-06-12,27.479999542236328,27.770000457763672,26.959999084472656,27.399999618530273,27.25050163269043,15816800
2012-06-13,27.65999984741211,28.100000381469727,27.100000381469727,27.270000457763672,27.1212100982666,17102800
2012-06-14,27.649999618530273,28.31999969482422,27.3799991607666,28.290000915527344,28.13564682006836,16855000
2012-06-15,28.510000228881836,30.100000381469727,28.350000381469727,30.010000228881836,29.846261978149414,43563800
2012-06-18,29.959999084472656,32.08000183105469,29.40999984741211,31.40999984741211,31.23862075805664,42978900
2012-06-19,31.540000915527344,32.18000030517578,30.700000762939453,31.90999984741211,31.73589515686035,30849000
2012-06-20,31.920000076293945,31.93000030517578,31.149999618530273,31.600000381469727,31.427587509155273,15553600
2012-06-21,31.670000076293945,32.5,31.510000228881836,31.84000015258789,31.666275024414062,21875300
2012-06-22,32.40999984741211,33.45000076293945,32.060001373291016,33.04999923706055,32.86967468261719,74834000
2012-06-25,32.86000061035156,33.02000045776367,31.549999237060547,32.060001373291016,31.88507843017578,24352900
2012-06-26,32.689998626708984,33.439998626708984,32.5,33.099998474121094,32.919395446777344,24858700
2012-06-27,32.459999084472656,32.900001525878906,31.899999618530273,32.22999954223633,32.05414962768555,28568000
2012-06-28,31.959999084472656,32.189998626708984,30.899999618530273,31.360000610351562,31.18889617919922,17713300
2012-06-29,31.920000076293945,31.989999771118164,30.760000228881836,31.100000381469727,30.930315017700195,19526900
2012-07-02,31.25,31.729999542236328,30.549999237060547,30.770000457763672,30.602115631103516,14122000
2012-07-03,30.90999984741211,31.440000534057617,30.799999237060547,31.200000762939453,31.029767990112305,8763600
2012-07-05,31.31999969482422,31.6299991607666,31.020000457763672,31.469999313354492,31.298295974731445,10032100
2012-07-06,31.440000534057617,31.899999618530273,31.260000228881836,31.729999542236328,31.55687713623047,10945600
2012-07-09,32.099998474121094,32.880001068115234,31.989999771118164,32.16999816894531,31.99446678161621,17785200
2012-07-10,32.43000030517578,32.47999954223633,31.15999984741211,31.469999313354492,31.298295974731445,14269500
2012-07-11,31.479999542236328,31.559999465942383,30.549999237060547,30.969999313354492,30.801023483276367,13030300
2012-07-12,30.700000762939453,31.399999618530273,30.600000381469727,30.809999465942383,30.641895294189453,11300700
2012-07-13,31.040000915527344,31.06999969482422,30.559999465942383,30.719999313354492,30.552387237548828,8108300
2012-07-16,30.5,30.5,28.209999084472656,28.25,28.095863342285156,24672100
